id:ID,name,inception,:LABEL
Q83,Q83,2002-01-25T00:00:00Z,Technology
Q2524362,ColdFusion Markup Language,,Technology
Q5014842,CWEB,,Technology
Q5644861,Hamilton C shell,,Technology
Q780920,Text Encoding Initiative,,Technology
Q1277803,JOVIAL,1960-01-01T00:00:00Z,Technology
Q1265836,MetaPost,1994-01-01T00:00:00Z,Technology
Q1172264,Datalog,1986-01-01T00:00:00Z,Technology
Q5159095,Concurrent Euclid,1980-01-01T00:00:00Z,Technology
Q1306585,Turbo Basic,1987-01-01T00:00:00Z,Technology
Q4117854,MAD,1959-01-01T00:00:00Z,Technology
Q850661,XQuery,2007-01-01T00:00:00Z,Technology
Q1665857,Interactive Data Language,1977-01-01T00:00:00Z,Technology
Q785345,Project Xanadu,1960-01-01T00:00:00Z,Technology
Q669257,HSQLDB,2001-01-01T00:00:00Z,Technology
Q1389173,FLOW-MATIC,1955-01-01T00:00:00Z,Technology
Q859938,Q859938,,Technology
