id:ID,name,birth_date,place_of_birth,occupation,:LABEL
Q311145,Machado de Assis,1839-06-21T00:00:00Z,Rio de Janeiro,writer,Human
Q224650,Sarah McLachlan,1968-01-28T00:00:00Z,Halifax,recording artist,Human
Q272282,Stina Nordenstam,1969-03-04T00:00:00Z,Stockholm,pop singer,Human
Q228546,Alphonse Daudet,1840-05-13T00:00:00Z,Nîmes,playwright,Human
Q231985,Hayley Westenra,1987-04-10T00:00:00Z,Christchurch,opera singer,Human
Q262467,Anna Calvi,1980-09-24T00:00:00Z,Twickenham,singer,Human
Q243059,Anja Garbarek,1970-07-24T00:00:00Z,Oslo,singer,Human
Q274309,Élisabeth Badinter,1944-03-05T00:00:00Z,Boulogne-Billancourt,author,Human
Q228968,Fiona Apple,1977-09-13T00:00:00Z,Upper West Side,singer,Human
Q270534,Rumer,1979-06-03T00:00:00Z,Islamabad,composer,Human
Q235182,Kimbra,1990-03-27T00:00:00Z,Hamilton,singer,Human
Q310903,Neil deGrasse Tyson,1958-10-05T00:00:00Z,Manhattan,astrophysicist,Human
Q216692,Ludvig Holberg,1684-12-03T00:00:00Z,Bergen,historian,Human
Q239917,Tina Arena,1967-11-01T00:00:00Z,Melbourne,singer,Human
Q223723,Cesare Beccaria,1738-03-15T00:00:00Z,Milan,jurist,Human
Q9348,Parmigianino,1503-01-21T00:00:00Z,Parma,painter,Human
Q9047,Gottfried Wilhelm Leibniz,1646-07-01T00:00:00Z,Leipzig,writer,Human
Q9038,Al-Khwarizmi,0780-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/7a92874f4b08035952622338227cbf26,astronomer,Human
Q9021,Max Planck,1858-04-23T00:00:00Z,Kiel,physicist,Human
Q9036,Nikola Tesla,1856-07-10T00:00:00Z,Coatzacoalcos,inventor,Human
Q5679,Lord Byron,1788-01-22T00:00:00Z,City of Westminster,translator,Human
Q5681,Andrea Mantegna,1431-01-01T00:00:00Z,Isola Mantegna,painter,Human
Q454870,Gabriela Zapolska,1857-03-30T00:00:00Z,Pidhaitsi,translator,Human
Q352766,Steven Wilson,1967-11-03T00:00:00Z,Kingston upon Thames,recording artist,Human
Q449538,Alexander Zinoviev,1922-10-29T00:00:00Z,Chukhlomskoy Uyezd,writer,Human
Q370246,Jens Peter Jacobsen,1847-04-07T00:00:00Z,Thisted,translator,Human
Q362332,David Cross,1964-04-04T00:00:00Z,Roswell,singer,Human
Q441428,Carina Round,1979-04-20T00:00:00Z,Wolverhampton,singer,Human
Q371202,Big Boi,1975-02-01T00:00:00Z,Savannah,actor,Human
Q458364,Sarah Slean,1977-06-21T00:00:00Z,Pickering,singer,Human
Q316806,Almeida Garrett,1799-02-04T00:00:00Z,Porto,politician,Human
Q438164,Samuel R. Delany,1942-04-01T00:00:00Z,New York City,author,Human
Q461248,Neon Hitch,1986-05-25T00:00:00Z,Nottingham,singer,Human
Q5686,Charles Dickens,1812-02-07T00:00:00Z,Landport,court stenographer,Human
Q18547685,Ion Sapdaru,1961-08-04T00:00:00Z,Doroțcaia,actor,Human
